Picto Name	Effect	Health	Defense	Speed	Critical Rate	Map and Nearest Flag	How to Get
Versatile	After a Free Aim hit, base attack damage is increased by 50% for 1 turn.			21	4%	Flying Waters (Lumieran Street)	Players who head straight forward from the Flag will find that there are two buildings emerging from the ground. Players should get on top of those buildings and then use their grappling hooks to reach the buildings on the side of the area. Players should then go right and grab this Pictos from the ground.
Energising Jump	+1 AP on Jump Counterattack	44		29		Ancient Sanctuary (Entrance)	Find this Pictos on the ground to the left of the illuminated spot that was used to trap the local Petank.
Burning Mark	Apply Burn on hitting a Marked enemy	44	32			Ancient Sanctuary (Entrance)	Players should follow the stream in the area with the Petank to reach a wall with handholds, which they can shimmy across. This action will lead players to a small area with this Pictos.
Energising Start II	+1 AP on battle start	175				Ancient Sanctuary (Sanctuary Maze)	After passing the Sanctuary Maze Expedition Flag, players should go right at the fork and look for a small alcove on their right. There is a low gap in this alcove through which players can crawl, and they should go right when they emerge. Players should then make their way to the far end of the area and use the two handholds on the left to climb a small wall. There is a path at the top that leads directly to this Pictos.
Attack Lifesteal	Recover 15% Health on base attack	88			8%	Ancient Sanctuary (Sanctuary Maze)	Players should now descend the handholds that they used to reach the Energising Start II Pictos and enter the tunnel that is ahead. This tunnel leads to a Catapult Sakapatate, who is guarding this Pictos in a small alcove.
Piercing Shot	25% increased Free Aim damage. Free Aim shots ignore Shields					Ancient Sanctuary (Sanctuary Maze)	In the area just before the area with the blue statues, use paint break to destroy a root. Head forward to the Gestral Totem expedition flag. Jump into the water and follow it into an alcove with the Pictos.
Breaker	25% Increased Break Damage			26	9%	Ancient Sanctuary (Giant Bell Alley)	Players will encounter the Ultimate Sakapatate, the map's final boss, not long after passing the Giant Bell Alley Expedition Flag, and they will receive this Pictos upon besting the foe in combat.
Stun Boost	30% increased damage on Stunned targets			35	2%	Ancient Sanctuary (Giant Bell Alley)	There is a tunnel through which players can crawl next to the Energy Tint Shard, and the path that is beyond that tunnel leads directly to this Pictos.
Critical Moment	50% increased Critical Chance if Health is below 30%.			26	9%	Gestral Village	Buy from the Bazaar
Roulette	Every hit has a 50% chance to deal either 50% or 200% of its damage		34		9%	Gestral Village	Speak to the Gambler
Healing Mark	Recover 25% Health on hitting a Marked enemy. Once per turn.		65			Gestral Village	In the Bazaar, enter the alcove to trigger a duel with a black market Gestral. Defeat to unlock in shop.
Last Stand Critical	100% Critical Chance while fighting alone.	168	50			Hidden Gestral Arena	Beat Matthieu
Accelerating Last Stand	Gain Rush if fighting alone.	168		34		Hidden Gestral Arena	Beat Bertrand
Protecting Last Stand	Gain Shell if fighting alone.	168	50			Hidden Gestral Arena	Beat Dominique
Solo Fighter	Deal 50% more damage if fighting alone.	168	50			Hidden Gestral Arena	Beat Julien
Empowering Last Stand	Gain Powerful if fighting alone.	168			10%	Hidden Gestral Arena	Beat all opponents
Augmented Aim	50% increased Free Aim damage.			39	5%	Gestral Village	Speak with Merchant in Bazaar after completing Forgotten Battlefield.
Augmented First Strike	50% Increased damage on the first hit. Once per battle			51	5%	Esquie's Nest	Defeat Francois.
Energising Start III	+1 AP on battle start	320				Esquie's Nest	Leave the cave after Esquie makes the path for you, and the Pictos will be outside in the front entrance.
Defensive Mode	On receiving damage, consume 1 AP to take 30% less damage, if possible.					Stone Wave Cliffs	Enter through the portal on the beach. Look forward and to the left.
Confident	Take 50% less damage, but can't be healed			75	13%	Stone Wave Cliffs (Rest Point)	Defeat the big rock monster 'Hexga' on the path after the entrance rest point.
Breaking Counter	50% Increased Break damage on Counterattack			43	10%	Stone Wave Cliffs (Rest Point)	Look to the left of the rock monster to find an old ship. Inside the ship is the Pictos
Energising Pain	No longer gain AP on Parry. +1 AP on getting hit	1166	160			Stone Wave Cliffs (Rest Point)	After beating the rock monster, Hexga, continue forward to find some more monsters in the next area. Beat the enemy on the left side of the area to find the Pictos.
First Strike	Play first			41	10%	Stone Wave Cliffs (Paintress Shrine)	Before using the grappling point that leads to the Paintress Shrine rest area, hop on the platforms to the right to find a side area with an enemy and a secret Pictos.
SOS Power	Apply Powerful when falling below 50% health			43	10%	Stone Wave Cliffs (Paintress Shrine)	When a monster jumps out at you, hug the right wall to find a slope leading to the Pictos.
Breaking Shots	50% increased Break damage with Free Aim shots			43	10%	Stone Wave Cliffs (Tide Caverns)	When you're looking for the three rock crystals in a cave, you need to jump across some tall platforms with careful timing.
Perilous Parry	+1 AP on Parry, but damage received is doubled.			280	23%	Stone Wave Cliffs (Tide Caverns)	Defeat the enemy on the bottom level of the caverns.
Auto Shell	Apply Shell for 3 turns on battle start.	411				Stone Wave Cliffs (Tide Caverns)	Give three crystals to Hexga.
Healing Tint Energy	Healing Tints also give 1 AP	216	71			Stone Wave Cliffs - Flooded Buildings	Grapple back across, return to the bottom of the building, and use the grapple point to the left to cross the gap. Continue along the path to encounter two Nevrons. The Healing Tint Energy Pictos is on the ground just past those enemies.
Enfeebling Mark	Marked Targets deal 30% less damage		102	21		Stone Wave Cliffs - Flooded Buildings	Descend through the structure and follow the path to enter yet another building. Climb to the top and look left upon exiting the building to find a grapple point that can be used to reach an area with the Enfeebling Mark Pictos.
At Death's Door	Deal 50% more damage if health is below 10%		96		11%	Stone Wave Cliffs (Basalt Waves)	Defeat the Lampmaster boss
Dead Energy I	+3 AP on killing an enemy			?	?	The Continent	Found on the Continent, in front of the entrance to Dark Shores, about 100 feet away is a cluster of crates you can break apart, containing the Picto.
Healing Parry	Recover 3% health on parry	127	34			The Continent	There is a Bourgeon between Esquie's Nest and Stone Wave Cliffs. There is a Lost Gestral just past it, and this Pictos is in a camp nearby.
Energising Start I	+1 AP on battle start.	320				The Continent	Beach north of Gestral Village
Protecting Heal	Healing an ally also applies Shell for a turn	395		78		Esoteric Ruins/Continent (Near Old Lumiere Entrance)	Find the Wood Boards and give it to the spirit by the entrance
Accelerating Heal	Healing an ally also applies Rush for 1 turn	329		65		The Continent	On the first Painting Workshop isle. Walk to the opposite side past the monsters.
Shared Care	When healing an ally, also Heal self for 50% of that value	206	68			The Continent	On the island with the portal into White Tree.
Energising Heal	On Healing an ally, also give 2 AP	206		41		The Continent	Small beach north of the island with the portal into White Tree.
Empowering Dodge	5% increased damage for each consecutive successful dodge. Can stack up to 10 times.			162	17%	The Continent	Walk a little north of Endless Night Sanctuary to find this on the ground.
Fueling Break	Breaking a target doubles its burn amount			507	31%	The Continent	(1) Near the entrance to The Carousel. (2) Complete Stage 7, Trial 3 of the Endless Tower
							
Charging Tint	+5% of a Gradient Charge on using an item.	329	122			The Continent	In a camp next to the merchant on small beach southeast of Gestral Beach (NW). Surrounded by enemies.
Burning Death	Apply 3 Burn to all enemies on Death			65	12%	The Continent	Beat Bourgeon that is near Merchant NW of Gestral Beach (NW).
Breaking Burn	25% increased Break damage on Burning enemies			243	9%	The Continent	Past Burning Death Bourgeon.
Cheater	Always play twice in a row	1198		400		The Continent	Defeat Sprong. It's a huge enemy walking in the water next to Blades' Graveyard/Crimson Forest.
Longer Burn	Burn duration is increased by 2	2392	1292			The Continent	Beat the Chromatic Aberration on floating island between Dark Shores and The Fountain.
Breaking Death	Fully charge enemy's Break Bar on death			586	33%	The Continent	Defeat the Eveque east of Stone Wave Cliffs Cave.
Breaking Slow	25% increased Break damage against Slowed enemies.			162	17%	The Continent	Paint Break a root southeast of Abbest Cave in the area filled with statues.
Energising Shell	Give 2 AP on applying Shell.		319	154		The Continent	The Picto can be found in a paint spike in the area of the Chromatic Petank to the east of The Meadows on the world map (accessible via Esquie flight).
							
Energising Gradient	+1 AP per Gradient Charge consumed					The Continent	Beat the Frost Eveque northeast of Forgotten Battlefield exit.
Warming Up	5% increased damage per turn. Can stack up to 5 times.					The Continent	Beat the Grosse Tete in front of Coastal Cave (northeast of Forgotten Battlefield)
Energy Master	Every AP gain is increased by 1.					The Continent	Defeat the Serpenphare (flying dragon boss).
Longer Rush	On applying Rush, its duration is increased by 2.					The Continent	Look east of Monoco's Station/south of Frozen Hearts to find an ice monster near a broken camp.
Anti-Stun	Immune to Stun.					The Continent	Beat the Chromatic Petank in the field southeast of Forgotten Battlefield/East of Gestral Village.
Longer Shell	On applying Shell, its duration is increased by 2	1333	647			Forgotten Battlefield (Main Gate)	Defeat the first wild enemy after entering the gates of Forgotten Battlefield.
Sweet Kill	Recover 50% health on killing an enemy			54	11%	Forgotten Battlefield (Main Gate)	After entering the main area, enter a side area to the left that leads you to some items, including the Pictos.
Energising Start IV	+1 AP on battle start.	513				Forgotten Battlefield (Main Gate)	Right side of the big open area. In the trenches.
Energising Death	On death, +4 AP to allies		96	54		Forgotten Battlefield (Fort Ruins)	From the Flag, use the footholds, follow the path until you see a staircase to the right. Defeat the enemy patrol and look to the left to find a hidden item.
Energising Parry	+1 AP on successful parry	626				Forgotten Battlefield (Battlefield)	When you see the Faded Woman near the flag, turn to the right and go through the hall, and then take the second right to find a special enemy called Chromatic Luster. It'll drop the Pictos.
Empowering Tint	Healing Tints also apply Powerful	2705		546		Forgotten Battlefield (Battlefield)	(1) Same area as above. Turn right at the woman, take the first right to find a magic rope. (2) Complete Stage 8, Trial 3 of Endless Tower
Inverted Affinity	Apply Inverted on self for three turns at battle start. 50 % increased damage while inverted.	270			11%	Forgotten Battlefield (Ancient Bridge)	When you pick up the Expedition 57 journal, look nearby to find stairs leading to a rope. You'll find the trader Kasumi.
Combo Attack I	Base attack has one extra hit			93	6%	Forgotten Battlefield (Ancient Bridge)	Fight the boss after passing this flag.
Revive Tint Energy	Revive Tints also give 3 AP	257	92			Forgotten Battlefield (Ancient Bridge)	From the flag, cross the bridge using the grapple, turn right to enter a new woodsy area to find the Pictos in the middle.
Healing Counter	Recover 25% Health on Counterattack	751				Old Lumiere (Entrance)	Buy from Merchant near Entrance rest point - 20,400 Chroma.
Longer Powerful	On applying Powerful, its duration is increased by 2	376			13%	Old Lumiere (Entrance)	Buy from Merchant near Entrance rest point - 20,400 Chroma.
Time Tint	Energy Tints also apply Rush	1897	949			Old Lumiere (Right Street)	Pass the grappling point, you'll eventually have to jump over a gap before reaching the next area, but if you drop down a ledge to the right, you'll find this Pictos. If you've reached the faded man, you've gone too far.
Auto Rush	Apply Rush for three turns on battle start			112	7%	Old Lumiere (Right Street)	When Maelle and Verso split, you're gonna use a grapple point to cross a broken bridge. Turn left after walking forward a bit to find three enemies huddled around the Pictos.
Healing Death	On death, the rest of the Expedition recovers all Health.					Old Lumiere (Manor Gardens)	After Renoir is defeated, follow the path beyond the Paint Cage to access a section that is filled with grapple points, threads, and handholds. After traversing that section, descend the slope and defeat the Nevron at the bottom to obtain the Perilous Parry Pictos. The Healing Death Pictos is on the ground next to that Nevron.
Revive Paradox	Play immediately when revived					Old Lumiere (Train Station Ruins)	After beating Renoir, return to the Entrance expedition flag and follow the critical path to reach a ledge where two gold threads can be activated. Head right at the ledge to reach the Train Station Ruins expedition flag, and continue forward, descending a gold thread when necessary, to reach the Chromatic Danseuse.
Healing Share	Revive 15% of all Heals affecting other characters	467			14%	Visages (Plazza)	Buy from Merchant nearby for 19,200 Chroma.
Confident Fighter	30% increased damage, but can't be healed	222			20%	Visages (Joy Vale)	From the flag, pass the first group of dancing monsters, keep heading right until you see a big moving face with closed eyes. Head up the hill to the right to find an enemy near the pictos.
Double Burn	On applying a Burn stack, apply a second one			132	7%	Visages (Anger Vale)	From the Flag, head to the right towards the big face. Look to the right to find a little cave. Walk inside and then towards the left to find some enemies standing near the Pictos.
Powered Attack	On every damage dealt, try to consume 1 AP. If successful, increase damage by 20%			132	7%	Visages (Anger Vale)	From the Flag, head right towards the big face, but head left into a corridor that leads to a magic rope and a Pictos.
Augmented Counter II	50% increased counterattack damage		208		15%	Visages (Anger Vale)	From the flag, head straight and then right to find a hidden area leading to Chromatic Ramasseur. Defeat it to get the Pictos.
Glass Cannon	Deal 25% more damage, but take 25% more damage			175		Visages (Anger Vale)	Right next to where the Chromatic Ramasseur is (same as above)
Immaculate	30% increased damage until a hit is received			103	15%	Visages (Plazza)	Beat the Axon boss (Visages / Mask Keeper)
Shield Affinity	30% increased damage while having Shields, but receiving any damage always removes all shields.			118	16%	Sirene (Dancing Classes)	Go forward on the main path up the stairs, and then go inside the room to the left to find stairs. Go down to find a magic rope. Use the grapple to reach a paint cage. Destroy its parts to get the Pictos.
Effective Heal	Double all Heals received	284	341			Sirene (Dancing Classes)	Go forward on the main path up the stairs, and then go inside the room to the left to find stairs. Go down to find a magic rope. Use the grapple to reach a paint cage. Use the magic platform to reach a new area and then turn right to find the Pictos behind the Chromatic Greatsword Cultist.
Greater Shell	+10% to Shell damage reduction	599	240			Sirene (Dancing Classes)	When you get off the moving platform to land in the area where the Chromatic enemy is, go to the opposite end to find this Pictos and some handholds.
Powerful On Shell	Apply Powerful on applying Shell		874		25%	Sirene (Dancing Classes)	When you get to the room with the large statue in the middle, head to the right to enter a multi tiered room that looks like the inside of an organ. Head to the bottom of this area to find the Benisseur. Defeat it to get the pictos.
Auto Regen	Apply Regen for three more turns on battle start		479			Sirene (Dancing Classes)	When you get to the room with the large statue in the middle, head to the right to enter a multi-tiered room that looks like the inside of an organ. Head to the bottom of this area.
Protecting Death	On Death, allies gain Shell	599		118		Sirene (Dancing Classes)	Go past the door to the Manor, and then take a right before the next grapple point.
Anti-Charm	Immune to Charm	599	240			Sirene (Sewing Atelier)	Defeat the Tisseur (large optional weaver boss)
Healing Fire	Recover 25% of health when attacking a Burning foe. Once a turn		240	118		Sirene (Crumbling Path)	Head to the right from the flag to find a magic rope. Head down, use the grapple point, and follow the trail to find this Pictos.
Double Mark	Mark requires 1 more hit to be removed			236		Sirene (Crumbling Path)	From the flag, head to the area on the left to find handholds. Use them to reach a magic rope. Follow the path to find a Merchant at the end of it.
Energising Attack II	+1 AP on base attack		120	177		Sirene (Crumbling Path)	Same as above
Greater Powerful	+15% to Powerful damage increase			59	23%	Sirene (Crumbling Path)	Same as above
Energising Turn	+1 AP on turn start			270		Sirene	Beat the boss, Sirene, at the end of the map.
Energising Cleanse	Dispel the first negative Status Effect received and gain 2 AP.	1166	160			Inside the Monolith (Tainted Meadows)	Head into the watery area after the second black and white scene with the Paintress. Look on the path to the left to find the merchant. Fight him to buy the Pictos for 40,800 Chroma.
Stay Marked	50% chance to apply Mark when attacking a Marked enemy			201	12%	Inside the Monolith (Tainted Waters)	Go straight from the flag to find a little hidden path leading to the Chromatic Bourgeon. The Pictos is right behind it.
Weakness Gain	+1 AP on hitting an enemy's weakness once per turn			162	17%	Inside the Monolith (Tainted Cliffs)	When you go past the windmill and head on the main path, you'll end up in an area with a Hexga. Look on the right side to find this Pictos.
Random Defense	Damage taken is randomly multiplied by a value between 50% and 200%					Inside the Monolith (Tainted Cliffs)	Turn around, leave the cave, and head to the right to find a secluded area with a Paint Cage. Need Paint Break to reveal one of its locks.
Empowering Parry	Each successful parry increases damage by 5% until end of the following turn. Taking damage removes this buff.			162	17%	Inside the Monolith (Tainted Hearts)	When the path splits for the first time, head left past a huge rock monster to find a grapple point leading to a Paint Cage.
Greater Defenceless	+15% to defenceless damage amplification			293	23%	Inside the Monolith (Tainted Hearts)	When the path splits for the first time, turn left and then look to the right to find some handholds on the wall leading to a Merchant.
Enfeebling Attack	Base Attack applies powerless for 1 turn	1789	3542			Inside the Monolith (Tainted Hearts)	Cross the bridge beyond the Tainted Hearts expedition flag and immediately go left to enter an area with Gargant, a large Nevron. There are handholds on the wall to the right of that foe, and they lead to a merchant that sells a variety of items. The Enfeebling Attack Pictos is on the ground just past the merchant, next to a wrecked train.
Breaking Attack	Base attack can Break			154	17%	Inside the Monolith (Tainted Lumiere)	When you pass the big tree into a new area, immediately turn left and grapple onto the platform on the other side to fight some enemies.
Second Chance	Revive with 100% Health. Once per battle	1107			8%	Inside the Monolith (Tower Peak)	Defeat Renoir
Combo Attack II	Base attack has 1 extra hit			1089	19%	Monolith Peak (Entrance)	After beating the Paintress, return to the arena in which you fought her to encounter Chromatic Clair Obscur. Beat the Nevron to obtain the Combo Attack II Pictos.
Painted Power	Damage can exceed 9,999	1844				Monolith Peak	Defeat the Paintress.
Shortcut	Immediately play when falling below 30% health. Once per battle			182	18%	Lumiere (Harbour)	Fight the Abberation near the first big horse statue.
Energising Powerful	Give 2 AP on applying Powerful		373	173		Lumiere (Harbour)	When you need to use the magic rope at the end of the initial path, ignore the grapple point to the left and instead head on the path to the right to lead you to the Pictos.
Charging Stun	+5% of a Gradient Charge on hitting a Stunned enemy	922		182		Lumiere (Shattered Alley)	From the flag, turn around to see the Pictos near the large tree.
Augmented Counter III	75% Increased Counterattack Damage		432		19%	Lumiere (Shattered Alley)	Continue the path until you spot a large creature with a light on its head. Defeat the Chromatic Echassier.
Healing Stun	Recover 5% Health on hitting a Stunned target	876		173		Lumiere (Opera House)	Follow the path, use two grapple points, head on the left path, and keep an eye on the right wall to find this one. (You can find a dupe on the opposite side.)
Full Strength	25% increased damage on full Health	876	373			Lumiere (Lumiere's Gardens)	Buy from Merchant after fighting him. Turn around and the merchant will be to the left. 53,200 Chroma.
Gradient Fighter	25% Increased damage with Gradient Attacks			182	18%	Lumiere (Lumiere's Gardens)	When you start walking the main path after the flag, turn on the second set of staircases to the left to find a Pictos by some enemies.
Faster Than Strong	Always play twice in a row, but deal 50% less damage	876	373			Lumiere (Lumiere's Gardens)	Fight Creation at the end of the garden path to get this.
Draining Cleanse	Consume 1 AP to prevent Status Effects application, if possible.	2000	324			The Reacher (Entrance)	After you grapple and use a magic rope, look right to see the Pictos behind enemies.
Sniper	First Free Aim shot each turn deals 200% increased damage and can Break			420	12%	The Reacher (Mountain)	Fight the first group of monsters after the flag.
Charging Counter	+10% of a Gradient Charge on Counterattack.	1333	647			The Reacher (Mountain)	Before the second hot air balloon ride, look to the left to find handholds leading to a side area. You'll find the Pictos at the end of it.
Charging Attack	+15% of a Gradient Charge on Base Attack			266	22%	The Reacher (Mountain)	Before the second hot air balloon ride, look to the left to find handholds leading to a side area. You'll find the Pictos at the end of it.
Protecting Tint	Healing Tints also apply Shell	1403	681			The Reacher (Foggy Area)	Cross the second wooden bridge and then turn right.
Anti-Blight	Immune to Blight					The Reacher (Foggy Area)	Head to the path on the left to find a hot air balloon ride, and speak to the nearby Merchant. 67,350 Chroma.
Exposing Break	Apply Defenceless on Break					The Reacher (Foggy Area)	Head to the path on the left to find a hot air balloon ride, and speak to the nearby Merchant. 53,880 Chroma.
Charging Weakness	15% of a Gradient Charge on hitting a Weakness. Once per turn.			280	23%	The Reacher (Foggy Area)	Head to the path on the left to find a hot air balloon ride, and speak to the nearby Merchant. 53,880 Chroma.
Tainted	15% Increased damage for each Status Effect on self		1022		12%	The Reacher (Foggy Area)	Head to the path on the left to find a hot air balloon ride, and speak to the nearby Merchant. 49,391 Chroma.
Healing Boon	Heal 15% HP on applying a buff		647	266		The Reacher (Foggy Area)	Head to the path on the left to find a hot air balloon ride. Use the grappling points afterwards to find a magic rope leading down to a Pictos.
Energising Rush	Give 2 AP on applying Rush		801	321		Endless Tower	Complete Stage 2, Trial 3
Charging Critical	+20% Gradient Charge on Critical Hit. Once per turn		1048		27%	Endless Tower	Complete Stage 5, Trial 3
Critical Weakness	25% increased Critical Chance on Weakness			670	14%	Endless Tower	Complete Stage 6, Trial 3
Rush On Powerful	Apply Rush on applying Powerful			557	32%	Endless Tower	Complete Stage 9, Trial 3
Greater Powerless	+15% to Powerless damage reduction		1727	597		Endless Tower	Complete Stage 10, Trial 3
Anti-Burn	Immune to Burn	2757	1572			Flying Manor - Central Plaza	From the Flag, run towards the faded boy to find a staircase past him. Take it down to find a magic rope that leads to an elevator. Fight the giant rock monster (Gargant)
Charging Alteration	+10% of a Gradient Charge on applying a buff. Once per turn.		1501	546		Flying Manor - Central Plaza	From the Flag, run towards the faded boy to find a staircase past him. Take it down to find a magic rope that leads to an elevator and a new area. Run down the stairs, head towards the left to find a grapple point. Follow the path and grapple to reach the Pictos.
Energetic Healer	+2 AP when healing an ally		1426	519		Flying Manor - Central Plaza	To the right of the flag, take the stairs and rope down to the lower section of Flying Manor. The Picto can be found on the ledge to the left after riding the rope up to the Lampmaster boss area.
Painter	Convert all Physical damage to Void damage			519	31%	Flying Manor - Central Plaza	From the Flag, go towards the grapple point leading to the big locked door. Look to the right to find a large picture frame you can walk on. It'll lead to a new area. You'll find this Picto on one of the upper walkways.
Powerful Revive	Apply Powerful for three turns when Revived			546	32%	Flying Manor - Central Plaza	Beat the Dualliste and then go to the upper area near where you fought him to find a grapple point leading to a Paint Cage containing the Pictos.
Empowering Break	Gain Powerful on Breaking a target			546	32%	Flying Manor - Central Plaza	Take the elevator right next to the Flag. When you get up, follow the path and hug the left to find a magic rope. Stay on the left and find a grapple that leads to the Pictos behind a monster
Accelerating Shots	20% chance to gain Rush on Free Aim shot	4869	301			Flying Manor - Central Plaza	Take the elevator right next to the Flag. When you get up, follow the path and then once it splits into three, head on the left path to find a merchant.
Gradient Breaker	50% increased Break damage when using Gradient attacks			546	32%	Flying Manor - Central Plaza	(1) Take the elevator right next to the Flag. When you get up, follow the path and then once it splits into three, head on the left path to find a merchant. (2) You can find the Gradient Break Pictos in a small cave along one of the paths behind the Grandis NPC at Endless Night Sanctuary.
Break Specialist	Break damage is increased by 50%, but base damage is reduced by 20%	2705		546		Flying Manor - Central Plaza	Take the elevator right next to the Flag. When you get up, follow the path and then once it splits into three, head on the left path to find a merchant.
Slowing Break	Apply Slow on Break		1501	546		Flying Manor - Central Plaza	Take the elevator right next to the Flag. When you get up, follow the path and then once it splits into three, head on the left path to find a merchant.
Energising Shots	20% chance to gain 1 AP on Free Aim shot			779	16%	Flying Manor - Central Plaza	Defeat Goblu as part of the challenge (take the elevator next to the flag). The Pictos will be next to Goblu.
Clea's Life	On turn start, if no damage taken since last turn, recover 100% health	5591				Flying Manor - Central Plaza	Defeat Clea at the end of Flying Manor.
SOS Rush	Apply Rush when falling below 50% Health.		288	142		Falling Leaves - Resinveil Groove	From Journal 35, turn around and walk along the stone path. Look to the right for the Pictos.
Beneficial Contamination	+2 AP on applying a Status Effect. Once per turn.		274	135		Falling Leaves - Resinveil Groove	Left from the flag, grapple across and follow the path to a Merchant.
Greater Slow	+15% to Slow Speed reduction		647	266		Sky Island - Entrance	Find a staircase at the end of this small map.
In Medias Res	+3 Shields on Battle Start, but max health is halved		1310		13%	Dark Shores - Bloodied Beach	Run straight past the flag to the end of the area to find this surrounded by enemies.
Energising Revive	+3 AP to all Allies when revived	270	96			Stone Wave Cliffs Cave	Beat the Chromatic Hexga at the end.
Exhausting Power	50% increased damage if exhausted	270	96			Stone Wave Cliffs Cave	Beat the Chromatic Hexga at the end. Look to the left of it.
Solidifying	+2 Shields when the character's Health falls below 50%. Once per battle.		647	266		Sacred River	Buy from Merchant for 67,350 Chroma.
Critical Stun	100% on Critical Chance on hitting a Stunned target					Sacred River	Buy from Merchant for 53,880 Chroma.
First Offensive	First hit dealt and taken deals 50% more damage.			75	13%	Abbest Cave	Beat Chromatic Abbest
Energising Attack I	+1 AP on base attack			895	17%	Painting Workshop	Solve the Painting Workshop mystery and defeat the Lampmaster
The One	Max Health is reduced to 1				108%	Sunless Cliffs	Beat the Mime at the Portal.
Base Shield	+1 Shield if not affected by any Shield on turn start			378	11%	The Chosen Path	Defeat the mirror challenges and enter the double doors up the staircase.
Pro Retreat	Allows Flee to be instantaneous					Camp	Find all nine Lost Gestrals for Sastro
Burning Break	Apply 3 burn stacks on Breaking a target	1541			24%	Frozen Hearts - Glacial Falls	If you're facing the bells near the flag, turn right and hug the wall. Run up the cliff, and then you'll see the Pictos across the way that you can jump to by using a frozen bell.
Burn Affinity	25% increased damage on Burning targets			439	12%	Frozen Hearts - Glacial Falls	From the Flag, look out towards the flaming enemies to see a magic rope. Take it up to find an area with some Chroma. Follow the path up there to find a grappling hook. Use the handholds and then jump to a path on the right to find another grapple point leading to the Pictos.
Death Bomb	On Death, deal damage to all enemies.					Yellow Harvest - Harvester's Hollow	Pass the flag and head to the right of the tall stone statue. There is a short path to the right of the long ramp, and the Pictos is at the end.
Auto Death	Kill self on battle start					Yellow Harvest (Harvester's Hollow)	Buy from nearby Merchant for 5320 Chroma. From the flag, head towards the right to find a slope that leads to an area with blue lamps. You'll find a grapple point.
Teamwork	10% increased damage while all allies are alive					Yellow Harvest (Harvester's Hollow)	From the flag, go straight into the large clearing. Stay on the right until you find a large slope that leads to an area with lamps. Use the grapple point at the end to find a Merchant.
Quick Break	Play again after Breaking a target			672	36%	Renoir's Drafts - Entrance	Hook a left after passing the flag to find a grapple point.
Aegis Revival	+1 Shield after being revived		1990	672		Renoir's Drafts - Entrance	Follow the main path until you reach the fading man. Walk down the slope on the right once you pass him. Hook a left before entering the round gate to find a slope that leads to a grapple point and a Merchant.
Charging Burn	+20% of a Gradient Charge on applying Burn. Once per turn.	3152		639		Renoir's Drafts - Entrance	Follow the main path until you reach the fading man. Walk down the slope on the right once you pass him. Hook a left before entering the round gate to find a slope that leads to a grapple point and a Merchant. Jump on the bridge behind the Merchant.
Recovery	Recovers 10% Health on turn start					Red Woods	Donate Chroma to help Benisseur.
Combo Attack III	Base Attack has 1 extra hit					Dark Gestral Arena	Complete the Dark Gestral Arena
